7zip 26.02-1
qemu-system-x86 11.1.0-1
qemu-system-x86-firmware 11.1.0-1
qrencode 4.1.1-4
qt5-base 5.15.19+kde+r96-1
qt5-multimedia 5.15.19+kde+r2-1
qt5-translations 5.15.19-1
qt6-base 6.11.2-2
qt6-declarative 6.11.2-1
qt6-tools 6.11.2-1
qt6-translations 6.11.2-1
qt6pas 6.2.10-4
raptor 2.0.16-9
rar 7.23-1
rav1e 0.8.1-3
rdma-core 64.0-1
readline 8.3.003-1
rsync 3.5.0-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
runc 1.5.1-1
rygel 1:45.2-1
samba 2:4.24.6-1
sane 1.4.0-4
sbc 2.2-1
sdl2-compat 2.32.70-1
sdl3 3.4.14-1
sdl3_ttf 3.2.2-3
seabios 1.17.0-2
sed 4.10-2
semver 7.8.5-1
serd 0.32.10-1
sg3_utils 1.49-1
shaderc 2026.3-1
shadow 4.20.0.arch1-1
shared-mime-info 2.5.1-2
shiboken6 6.11.2-1
simdjson 1:4.6.8-1
simple-scan 50.0-1
slang 2.3.3-4
smartmontools 7.5-1
smbclient 2:4.24.6-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.1-1
source-highlight 3.1.9-19
spandsp 0.0.6-7
speech-dispatcher 0.12.1-3
speex 1.2.1-2
speexdsp 1.2.1-2
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spirv-tools 1:1.4.357.0-1
sqlite 3.53.4-1
sratom 0.6.22-1
srt 1.5.7-1
startup-notification 0.12-9
steam 1.0.0.87-3
steam-devices 1.0.0.87-3
strawberry 1.2.27-1
sudo 1.9.17.p2-6
sushi 50.0-1
svt-av1 4.2.0-1
svt-hevc 1.5.1-4
systemd 261.2-1
systemd-libs 261.2-1
systemd-sysvcompat 261.2-1
taglib 2.3.1-1
talloc 2.5.0-1
tar 1.35-5
tdb 1.4.15-1
tecla 50.0-1
tevent 1:0.17.2-1
texinfo 7.3-1
tinysparql 3.11.1-1
